Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Logout,Firefox 120.0,,,2023-12-13 15:48:23,2023-12-13 15:49:51,1m - 28.204s,FAILED
,,,,,,,
Test Cases/Login_Logout_Registrasi/Login_Page,Firefox 120.0,,,2023-12-13 15:48:24,2023-12-13 15:49:20,56.218s,FAILED
"openBrowser(""https://uat.momobil.id/"")",Firefox 120.0,,,2023-12-13 15:48:24,2023-12-13 15:49:16,52.237s,PASSED
maximizeWindow(),Firefox 120.0,,,2023-12-13 15:49:16,2023-12-13 15:49:16,0.037s,PASSED
"click(findTestObject(""Home_Page/Button_MasukDaftar""))",Firefox 120.0,,,2023-12-13 15:49:16,2023-12-13 15:49:17,0.756s,PASSED
"verifyTextPresent(""masuk ke akun anda"", true)",Firefox 120.0,,,2023-12-13 15:49:17,2023-12-13 15:49:20,2.819s,FAILED
,,,,,,,
Test Cases/Login_Logout_Registrasi/Logout_Page,Firefox 120.0,,,2023-12-13 15:49:20,2023-12-13 15:49:51,31.615s,FAILED
"click(findTestObject(""Home_Page/Button_User""))",Firefox 120.0,,,2023-12-13 15:49:20,2023-12-13 15:49:51,31.363s,FAILED
